term,total_count,document_frequency
frankfurter,1,1
frankfurter ops,1,1
frolic,1,1
frolic miss,1,1
fuck comparatively,1,1
fuck relatively,1,1
not time,1,1
no price,1,1
non,1,1
not expensive,1,1
old inside,1,1
old really,1,1
forgotten destructive,1,1
former,1,1
former favorite,1,1
formula soothe,1,1
formula unquiet,1,1
forrad,1,1
forrad loot,1,1
forth,1,1
forth fin,1,1
fortnite effective,1,1
oled core,1,1
old acquire,1,1
occident online,1,1
off scoop,1,1
offer,1,1
offer player,1,1
offline occident,1,1
offline red,1,1
offline redement,1,1
oh although,1,1
oh high,1,1
oh past,1,1
oh win,1,1
ohio,1,1
ohio champion,1,1
occident occident,1,1
play bad,1,1
play call,1,1
play duty,1,1
play first,1,1
play good,1,1
play niggas,1,1
excited believe,1,1
personally change,1,1
personify fashion,1,1
personify misidentify,1,1
pet,1,1
pet doom,1,1
firewall exactly,1,1
phallus witness,1,1
phone takealot,1,1
even convey,1,1
even game,1,1
even great,1,1
even rocket,1,1
even untimely,1,1
people see,1,1
people together,1,1
perfect see,1,1
perfect setting,1,1
perfect zeus,1,1
perfectly,1,1
phallus,1,1
playing tonight,1,1
playoverwatch,1,1
playoverwatch one,1,1
playstation leak,1,1
playstation red,1,1
play not,1,1
play rattle,1,1
play seem,1,1
episode part,1,1
episode xiv,1,1
equal,1,1
equal new,1,1
equitable,1,1
plan force,1,1
escort leak,1,1
escort monday,1,1
essay,1,1
eu not,1,1
euphony,1,1
euphony love,1,1
eventually,1,1
eventually pound,1,1
pick clip,1,1
pig,1,1
pig pls,1,1
pistol offer,1,1
plan but,1,1
equitable stop,1,1
pay worth,1,1
experience go,1,1
exposure bring,1,1
extend money,1,1
extolment,1,1
extolment good,1,1
facebook bi5qyqfatb,1,1
fall afterward,1,1
paypal provide,1,1
favourable lucky,1,1
feel go,1,1
feel sport,1,1
pace rich,1,1
perfectly adore,1,1
painfully forget,1,1
pall,1,1
pall driving,1,1
panel home,1,1
part bonk,1,1
fall forgot,1,1
fan,1,1
fan gye,1,1
fare,1,1
fare community,1,1
fashion,1,1
finally let,1,1
finally surface,1,1
pace wait,1,1
person game,1,1
person succeeder,1,1
everyone account,1,1
examine,1,1
examine wire,1,1
excessively,1,1
excessively verizon,1,1
excited,1,1
peep hurt,1,1
people conclusion,1,1
people furious,1,1
people minor,1,1
people music,1,1
pay sim,1,1
exclusive 1nwftyvxex,1,1
exclusive away,1,1
exit axerophthol,1,1
exit boot,1,1
expansion favorite,1,1
expansion like,1,1
experience,1,1
fashion different,1,1
past congrats,1,1
past dead,1,1
pathetic absolutely,1,1
pathetic go,1,1
pause logos,1,1
people result,1,1
